# Generated with calc_global_raceline.py
#
# iter_count: 139
# Laptime: 108.68526373056437
# timestamp: 18:06:24 - 19.12.2024
# smooth_track hash: ba97271242142291903cfe91587b97689121306570b595991d9239e6
# git hash: ebf1ce4a116e4cae143bcffdf68bfeefa10afbff    ||    autonoma pitlane tunnel trackbounds
#
# execution_settings:
#     debugging_methods: False
#     raceline_gradient_key: 'tire_util_rl'
#     direction: 'counterclock'
#     simple_output: False
#     output_both: False
#     n_threads: 'auto'
# paths:
#     track_name: 'Yas_Marina'
#     run_specific_name: 'raceline_unsmoothed'
# cgr:
#     v_guess: 0.2
#     gg_scale: 1.0
#     w_jerk_x: 0.01
#     w_jerk_y: 0.03
#     w_jerk_y_gain: 0.0
#     w_jerk_xy: 0.015
#     w_kappa: 0.1
#     w_kappa_gain_brake: 0.0
#     w_kappa_gain_throttle: 0.0
#     v_max: 100
#     track_name: 'Yas_Marina_unsmoothed.csv'
#     raceline_name: 'Yas_Marina_raceline_unsmoothed'
#     vehicle_name: 'EAV24'
#     safety_distance_left: 1.0
#     safety_distance_right: 1.0
#     gg_mode: 'diamond'
#     warm_start: False
#     save_warm_start_ref: True
#     warm_start_raceline_save: 'Yas_Marina_raceline_unsmoothed'
#     warm_start_raceline: 'Yas_Marina_raceline_unsmoothed'
#     s_based_limits: False
#     use_grip_map: False
#     neglect_w_omega_y: True
#     neglect_w_omega_x: True
#     neglect_euler: True
#     neglect_centrifugal: True
#     neglect_w_dot: False
#     neglect_V_omega: False
#     w_T: 1.0
#     RK4_steps: 1
#     sol_opts:
#         ipopt.max_iter: 3000
#         ipopt.hessian_approximation: 'limited-memory'
#         ipopt.line_search_method: 'cg-penalty'
#         ipopt.acceptable_tol: 0.1
#         ipopt.acceptable_dual_inf_tol: 0.1
#         ipopt.constr_viol_tol: 0.001
#     vehicle_params:
#         m: 742.0
#         rho: 1.225
#         C_D_A: 1.2
#         C_Lf_A: 1.68
#         C_Lr_A: 2.23
#         h: 0.287
#         w: 2.971
#         a: 1.724
#         b: 1.247
#         T: 1.5815
#         epsilon: 0.5
#         gamma: 1
#         P_max: 357000
#         delta_max: 0.342
#         v_max: 90
#         total_width: 1.93
#         total_length: 4.9
#         ax_machine_limits: [5.0                                                                , 10.0       , 13.0     , 10.0     , 6.0      , 4.0       , 2.2       , 0.3       , 0.0       , 0.0]
#         ax_max_scale: 1.0
#         ax_min_scale: 1.0
#         ay_scale: 1.0
#         gg_exponent_ax_pos: 1.3
#         gg_exponent_ax_neg: 1.3
#     tire_params:
#         p_Cx_1: 2.0
#         p_Dx_1: 1.7168
#         p_Dx_2: -0.289
#         p_Ex_1: 0.6975
#         p_Kx_1: 63.75
#         p_Kx_3: 0.2891
#         lambda_mu_x: 0.93
#         p_Cy_1: 1.603
#         p_Dy_1: 1.654
#         p_Dy_2: -0.1783
#         p_Ey_1: -1.409
#         p_Ky_1: -53.05
#         p_Ky_2: 4.1265
#         lambda_mu_y: 0.84
#         N_0: 3114
#         N_max: 20000
#         kappa_max: 1.5
#         lambda_max: 1.6
# p_t:
#     visualize: True
#     processing_method: '3d_track_bounds_to_3d'
#     step_size: 1.0
#     ignore_banking: False
#     weights:
#         w_c: 0.01
#         w_l: 10.0
#         w_r: 10.0
#         w_theta: 10.0
#         w_mu: 1.0
#         w_phi: 0.5
#         w_nl: 1e-05
#         w_nr: 1e-05
# pp_tb_rl:
#     visualize: True
#     trackwidth_max: 24
#     N: 12001
#     h: 1e-06
#     poly_fit_params_rl:
#         stepsize: 0.25
#         num_steps: 24001
#         convergence_help_interp_linear_interp: False
#         interp_density: 100000
#         segment_0:
#             start: 0
#             poly_order: 2
#             poly_order_z: 2
#             min_num_window_nodes: 4
#             window_length: 2
x_rl_m                                                                                           , y_rl_m     , z_rl_m   , v_rl_mps , n_rl_m   , chi_rl_rad, ax_rl_mps2, ay_rl_mps2, jx_rl_mps3, jy_rl_mps3, tire_util_rl, s_ref_rl_m , x_ref_rl_m , y_ref_rl_m , z_ref_rl_m, theta_ref_rl_rad, mu_ref_rl_rad, phi_ref_rl_rad, dtheta_ref_rl_radpm, dmu_ref_rl_radpm, dphi_ref_rl_radpm, w_tr_right_ref_rl_m, w_tr_left_ref_rl_m, omega_x_ref_rl_radpm, omega_y_ref_rl_radpm, omega_z_ref_rl_radpm, s_ref_cl_m , x_ref_cl_m , y_ref_cl_m , z_ref_cl_m, theta_ref_cl_rad, mu_ref_cl_rad, phi_ref_cl_rad, dtheta_ref_cl_radpm, dmu_ref_cl_radpm, dphi_ref_cl_radpm, w_tr_right_ref_cl_m, w_tr_left_ref_cl_m, omega_x_ref_cl_radpm, omega_y_ref_cl_radpm, omega_z_ref_cl_radpm, tb_left_x_ref_rl_m, tb_left_y_ref_rl_m, tb_left_z_ref_rl_m, tb_right_x_ref_rl_m, tb_right_y_ref_rl_m, tb_right_z_ref_rl_m
-32.949134                                                                                       , -119.361359, 2.908460 , 56.578109, -0.537670, 0.003653  , 2.812894  , -0.606221 , -0.355118 , -2.029690 , 0.090763    , 0.000000   , -33.034675 , -118.830708, 2.894967  , 0.159813        , 0.000422     , -0.025097     , -0.000197          , -0.000047       , -0.000002        , -9.123385          , 5.271349          , -0.000002           , -0.000042           , -0.000199           , 0.000000   , -32.549696 , -120.707778, 2.943147  , 0.140180        , -0.000082    , -0.025096     , 0.000003           , -0.000189       , 0.000013         , -7.194581          , 7.197395          , 0.000013            , -0.000189           , -0.000002           , -33.873316        , -113.628179       , 2.762685          , -31.583197         , -127.834982        , 3.123914
-31.962552                                                                                       , -119.198732, 2.907966 , 56.627744, -0.534013, 0.003662  , 2.806621  , -0.642076 , -0.483105 , -2.025929 , 0.091701    , 0.999998   , -32.047403 , -118.671674, 2.894564  , 0.159610        , 0.000388     , -0.025099     , -0.000209          , -0.000021       , -0.000002        , -9.142830          , 5.251847          , -0.000002           , -0.000016           , -0.000209           , 0.499957   , -32.054644 , -120.637922, 2.943212  , 0.140182        , -0.000179    , -0.025098     , 0.000005           , -0.000199       , -0.000017        , -7.194551          , 7.197425          , -0.000017           , -0.000199           , -0.000000           , -32.881884        , -113.488222       , 2.762762          , -30.594673         , -127.695435        , 3.124016
-30.975943                                                                                       , -119.036304, 2.907488 , 56.677204, -0.530347, 0.003671  , 2.798094  , -0.677832 , -0.468659 , -2.021861 , 0.093165    , 1.999997   , -31.060099 , -118.512846, 2.894178  , 0.159395        , 0.000393     , -0.025101     , -0.000222          , 0.000031        , -0.000001        , -9.162063          , 5.232555          , -0.000001           , 0.000037            , -0.000221           , 0.999914   , -31.559591 , -120.568066, 2.943325  , 0.140184        , -0.000271    , -0.025104     , 0.000005           , -0.000170       , -0.000007        , -7.194522          , 7.197454          , -0.000007           , -0.000170           , 0.000001            , -31.890403        , -113.348256       , 2.762852          , -29.606258         , -127.555903        , 3.124126
-29.989305                                                                                       , -118.874086, 2.906978 , 56.726473, -0.526670, 0.003683  , 2.789830  , -0.713486 , -0.443512 , -2.017446 , 0.094830    , 2.999995   , -30.072759 , -118.354238, 2.893759  , 0.159165        , 0.000454     , -0.025101     , -0.000238          , 0.000091        , -0.000000        , -9.181072          , 5.213486          , -0.000000           , 0.000097            , -0.000236           , 1.499871   , -31.064538 , -120.498209, 2.943480  , 0.140187        , -0.000344    , -0.025104     , 0.000004           , -0.000122       , 0.000005         , -7.194494          , 7.197482          , 0.000005            , -0.000122           , 0.000001            , -30.898862        , -113.208281       , 2.762908          , -28.617972         , -127.416389        , 3.124191
-29.002639                                                                                       , -118.712090, 2.906379 , 56.775557, -0.522979, 0.003701  , 2.782016  , -0.749031 , -0.434551 , -2.012672 , 0.096024    , 3.999993   , -29.085381 , -118.195865, 2.893253  , 0.158918        , 0.000564     , -0.025101     , -0.000256          , 0.000129        , 0.000001         , -9.199839          , 5.194655          , 0.000001            , 0.000136            , -0.000253           , 1.999828   , -30.569486 , -120.428351, 2.943664  , 0.140188        , -0.000389    , -0.025103     , 0.000003           , -0.000060       , -0.000003        , -7.194465          , 7.197509          , -0.000003           , -0.000060           , 0.000002            , -29.907247        , -113.068294       , 2.762875          , -27.629840         , -127.276896        , 3.124155
-28.015941                                                                                       , -118.550328, 2.905658 , 56.824463, -0.519269, 0.003722  , 2.774366  , -0.784460 , -0.450288 , -2.007529 , 0.096128    , 4.999992   , -28.097963 , -118.037744, 2.892625  , 0.158656        , 0.000691     , -0.025100     , -0.000268          , 0.000124        , 0.000001         , -9.218347          , 5.176079          , 0.000001            , 0.000130            , -0.000265           , 2.499785   , -30.074434 , -120.358491, 2.943863  , 0.140190        , -0.000397    , -0.025104     , 0.000002           , 0.000029        , 0.000000         , -7.194438          , 7.197537          , 0.000000            , 0.000028            , 0.000003            , -28.915567        , -112.928297       , 2.762717          , -26.641851         , -127.137421        , 3.123985
-27.029207                                                                                       , -118.388809, 2.904820 , 56.873189, -0.515537, 0.003742  , 2.766446  , -0.819769 , -0.487619 , -2.002017 , 0.095013    , 5.999990   , -27.110503 , -117.879887, 2.891882  , 0.158385        , 0.000786     , -0.025100     , -0.000273          , 0.000067        , 0.000001         , -9.236585          , 5.157770          , 0.000001            , 0.000074            , -0.000271           , 2.999743   , -29.579381 , -120.288632, 2.944053  , 0.140190        , -0.000352    , -0.025104     , -0.000000          , 0.000153        , 0.000001         , -7.194412          , 7.197565          , 0.000001            , 0.000153            , 0.000004            , -27.923850        , -112.788295       , 2.762438          , -25.653954         , -126.997958        , 3.123692
-26.042432                                                                                       , -118.227541, 2.903921 , 56.921729, -0.511788, 0.003755  , 2.757877  , -0.854951 , -0.533578 , -1.996140 , 0.093169    , 6.999989   , -26.123001 , -117.722298, 2.891077  , 0.158113        , 0.000808     , -0.025099     , -0.000272          , -0.000023       , -0.000000        , -9.254548          , 5.139733          , 0.000000            , -0.000016           , -0.000272           , 3.499700   , -29.084329 , -120.218772, 2.944203  , 0.140189        , -0.000237    , -0.025104     , -0.000003          , 0.000305        , -0.000002        , -7.194387          , 7.197595          , -0.000002           , 0.000304            , 0.000004            , -26.932125        , -112.648292       , 2.762087          , -24.666099         , -126.858498        , 3.123335
-25.055615                                                                                       , -118.066533, 2.903045 , 56.970070, -0.508032, 0.003758  , 2.748509  , -0.889999 , -0.571762 , -1.989909 , 0.091408    , 7.999987   , -25.135455 , -117.564977, 2.890295  , 0.157842        , 0.000741     , -0.025100     , -0.000270          , -0.000113       , -0.000001        , -9.272239          , 5.121967          , -0.000001           , -0.000106           , -0.000273           , 3.999657   , -28.589277 , -120.148913, 2.944278  , 0.140187        , -0.000050    , -0.025106     , -0.000006          , 0.000443        , -0.000005        , -7.194360          , 7.197624          , -0.000005           , 0.000443            , 0.000005            , -25.940404        , -112.508290       , 2.761749          , -23.678264         , -126.719039        , 3.123001
-24.068754                                                                                       , -117.905794, 2.902277 , 57.018200, -0.504275, 0.003756  , 2.738478  , -0.924909 , -0.589906 , -1.983331 , 0.090387    , 8.999985   , -24.147867 , -117.407924, 2.889621  , 0.157569        , 0.000598     , -0.025101     , -0.000276          , -0.000172       , -0.000002        , -9.289659          , 5.104472          , -0.000002           , -0.000165           , -0.000280           , 4.499614   , -28.094224 , -120.079056, 2.944244  , 0.140183        , 0.000191     , -0.025109     , -0.000008          , 0.000523        , -0.000004        , -7.194334          , 7.197655          , -0.000004           , 0.000523            , 0.000005            , -24.948672        , -112.368288       , 2.761507          , -22.690477         , -126.579588        , 3.122776
